"","logFC","logCPM","PValue","FDR"
"AT3G22290",1.92593841424055,5.64682650779855,1.13931682714161e-18,1.25195952790175e-17
"AT1G23205",-2.09673532807308,3.81865928687867,1.1554816930165e-18,1.26892502757585e-17
"AT5G08150",2.86989870431151,1.7420640879351,1.16876834855807e-18,1.28271042296552e-17
"AT2G47070",1.86923427865266,8.10869018311306,1.20617791936883e-18,1.32293654732279e-17
"AT1G51670",6.2514629989035,0.252705642485397,1.27617894377023e-18,1.39795967881798e-17
"AT3G24982",6.24054495663434,0.249690326584828,1.27617894377023e-18,1.39795967881798e-17
"AT3G09520",2.98234054361015,1.58169614238611,1.33966303592305e-18,1.4665828964961e-17
"AT1G09750",-1.883293957624,6.63034652572802,1.42115902293954e-18,1.55482623266909e-17
"AT1G63800",-2.20394553194889,3.24677836375223,1.42532331886079e-18,1.55840697833917e-17
"AT3G07720",1.89518857441279,6.04516343139222,1.45987590259787e-18,1.59518815031991e-17
"AT4G10290",9.23551825966569,0.0926731375955773,1.47816671032632e-18,1.61315783998971e-17
"AT5G43650",9.23551825966569,0.0926731375955773,1.47816671032632e-18,1.61315783998971e-17
"AT1G12860",-1.96101376516702,4.94956377870968,1.53575204224676e-18,1.67495651619464e-17
"AT1G23870",-2.19255127733444,3.27399362669899,1.56716535066925e-18,1.70775835266339e-17
"AT5G20180",2.08874531078565,3.79895428622485,1.56778136248055e-18,1.70775835266339e-17
"AT4G38690",-2.02184213125708,4.30009413896566,1.60073627346132e-18,1.74256987975867e-17
"AT3G58120",-1.89307821676946,6.07128227992122,1.61875118948052e-18,1.76108444590466e-17
"AT2G24150",-1.99632047844852,4.54406212233736,1.68344201933788e-18,1.83032442935846e-17
"AT4G17670",2.1683288973636,3.33044625514431,1.71606229826036e-18,1.86463127162747e-17
"AT5G10830",2.38129672473913,2.5933274362246,1.72220713070994e-18,1.87014579293179e-17
"AT2G32800",1.91620182095206,5.61210503572543,1.76269209626716e-18,1.91292029292606e-17
"AT1G35210",2.59895968821298,2.11710647006472,1.78687938867998e-18,1.93796602681713e-17
"AT2G28080",1.90751192008775,5.80837225755091,1.80060294555333e-18,1.95163926206503e-17
"AT5G10250",-2.58174376734236,2.19320841023838,1.91312958349459e-18,2.07231998192292e-17
"AT5G57480",2.28600027132239,2.89142919874599,1.92749463215655e-18,2.08658753275499e-17
"AT5G02230",1.97259001522228,4.66871229255243,1.95554251046909e-18,2.11564045238435e-17
"AT4G29600",6.23479233559758,0.235638912808291,1.9610369550464e-18,2.12027267069117e-17
"AT3G23820",1.85226606314556,9.00547905745933,1.9732147340779e-18,2.1321207166801e-17
"AT1G24100",1.86785708607128,6.99997266069571,1.97956851837747e-18,2.13766500350793e-17
"AT1G18810",-2.39073473821416,2.6304211020961,2.03215003996204e-18,2.19309130547262e-17
"AT1G65310",2.23957488968581,3.02371084239465,2.05414995245165e-18,2.21546598511488e-17
"AT3G61210",-2.03835744874989,4.09711467246143,2.07352177887319e-18,2.23498034895438e-17
"AT2G32100",-2.42984689486317,2.49004454941744,2.12050985389727e-18,2.28421896338176e-17
"AT2G29310",-1.9891785427109,4.51262875934756,2.12415068527284e-18,2.28673192306804e-17
"AT5G53420",1.87228188165583,6.62012595602135,2.12636108221652e-18,2.28770281848562e-17
"AT1G48330",-2.95998629681446,1.59800124234485,2.19613914404116e-18,2.36132230352224e-17
"AT5G01830",2.37397473947153,2.58723459097173,2.26435837798476e-18,2.43317624599309e-17
